period	non_modeled_rps_resources_mwh	rps_bank_planned_spend_mwh	pipeline_biogas_available_mmbtu_per_year	incremental_pipeline_biogas_cost_per_mmbtu	rps_unbundled_fraction_limit	retail_sales_mwh	RPS_as_fractions_of_retail_sales
2020	2847608.82	0	0	0	0.327867597496151	197383512.515872	0.33
2022	2847608.82	1724331.621697	0	0	0.317122798336227	196779707.241411	0.384
2026	2847608.82	23712970.1023547	0	0	0.301951527259138	198434950.051056	0.492
2030	2847608.82	0	0	0	0.291052673555681	205915430.483806	0.6
2035	2544074.82	0	0	0	0.281093552635993	237855717.686679	0.685800262314018
2040	1307955.6	0	0	0	0.272958075515681	279184564.349122	0.791324669543393
2045	1307955.6	0	0	0	0.268818404016099	304217918.133392	0.88595978707472
