period	discount_factor	years_in_period
2020	1.47619047619048	1.5
2022	2.63833093256019	3
2026	2.99375356618317	4
2030	2.72844796728389	4.5
2035	2.41655737947283	5
2040	1.89343593958941	5
2045	4.62735356039737	23
