period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,49984794.43,-5497381.38,0,10474524.95,28269440.36
2022,45377226.51,-5504661.84,0,12244957.47,13968604.09
2026,36162090.66,-5497663.74,-85.77,11798143.26,18866283.66
2030,26946954.81,-5480417.63,-268.18,2800369.00,18666168.17
2035,22720842.21,-2740208.82,-269.66,2481660.47,17498972.92
2040,16111612.57,0,-435.08,1071053.54,15040559.03
2045,10304029.85,0,-500.52,747384.32,9556645.53
