period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,52512420.25,-5497381.38,0,10584579.37,28757903.32
2022,49589936.20,-5504661.84,0,11233229.28,19312994.23
2026,43744968.10,-5497663.74,0,13283333.96,22513613.61
2030,37900000.00,-5480417.63,-83.92,11726007.32,20693575.05
