period	period_planning_reserve_margin	prm_peak_load_mw	prm_annual_load_mwh	prm_planned_import_capacity_mw	prm_import_resource_capacity_adjustment_mw	local_capacity_deficiency_mw	allow_unspecified_import_contribution
2020	0.15	48687.5721353653	239578852.817312	5000	-1898.894	0	1
2022	0.15	49404.1457066143	243562489.930119	5000	-1898.894	0	1
2026	0.15	50620.6434148199	250566374.956032	5000	-1418.894	0	1
2030	0.15	52391.1100495706	262572535.893459	5000	-1418.894	0	1
2035	0.15	55770.2684995254	299719711.572532	5000	-1418.894	0	1
2040	0.15	59888.8095374612	350857785.64508	5000	-1418.894	0	1
2045	0.15	62782.1888854744	386470620.234213	5000	-1418.894	0	1
