period,baseline_distribution_cost,baseline_transmission_cost,baseline_generation_cost,baseline_dsm_cost,baseline_other_cost,scenario_distribution_cost,scenario_transmission_cost,scenario_generation_cost,scenario_dsm_cost,scenario_other_cost,scenario_customer_cost,shift_load_down_potential_factor,td_losses,pumping_loads_mwh,input_carbon_price_$_per_ton,energy_efficiency_mwh
2020,12468.3197115461,3938.4682893697,18074.8109922468,0,1081.95031932518,28.2650598834878,0,154.282742474553,1587.30289791182,0,3265.77467207044,0.166666667,0.0724,7918000,15.2487795643905,5929.70950703713
2022,14072.0163935329,3510.70412123263,18679.764064579,0,750.03330552658,23.8542507043708,0,267.296178256618,1587.30289791182,0,3536.74214983926,0.166666667,0.0724,7950000,16.8369561707227,10186.1455383382
2026,14311.3710081475,4189.09578340911,16118.3148826606,0,-1760.00799401613,29.3260157336176,0,372.443735111376,1587.30289791182,0,3984.83473791408,0.166666667,0.0724,8008000,20.5924210164146,19549.9878502936
2030,14981.3436776693,4735.00557016946,16110.6607878188,0,-2594.13501248805,88.2015750846207,0,439.946407202732,1587.30289791182,0,4415.32684500631,0.166666667,0.0724,8047000,25.2475978830692,27940.0559876214
2035,15849.6360228248,4882.71890664714,16110.6607878188,0,-2864.13466819705,283.579075734192,0,516.33060893283,1587.30289791182,0,5703.24983711037,0.166666667,0.0724,8047000,32.5473188735708,34090.0559876214
2040,16824.3624183269,5037.37252917102,16110.6607878188,0,-3162.23610493596,471.541331130062,0,589.089074721212,1587.30289791182,0,6923.52789773251,0.166666667,0.0724,8047000,41.9575743706008,40240.0559876214
2045,17913.646554974,5199.30261034572,16110.6607878188,0,-3491.36417864574,614.54261813572,0,658.694064291379,1587.30289791182,0,8143.80595835465,0.166666667,0.0724,8047000,54.0885734368127,46390.0559876214
