fuel	period	month	price
NW_Natural_Gas	2035	2	5.10409686701785
NW_Natural_Gas	2035	3	4.66817566759168
NW_Natural_Gas	2035	4	4.6610650693537
NW_Natural_Gas	2035	5	4.8472960947597
NW_Natural_Gas	2035	6	4.63007995145036
NW_Natural_Gas	2035	7	4.64801546538022
NW_Natural_Gas	2035	8	4.6576473531766
NW_Natural_Gas	2035	9	4.31999156529191
NW_Natural_Gas	2035	10	4.33508118125126
NW_Natural_Gas	2035	11	4.25764303446027
NW_Natural_Gas	2035	12	4.57846003781522
NW_Natural_Gas	2040	1	5.04506006587299
NW_Natural_Gas	2040	2	5.12534270490245
NW_Natural_Gas	2040	3	4.68760698052215
NW_Natural_Gas	2040	4	4.68046678437071
NW_Natural_Gas	2040	5	4.86747299768515
NW_Natural_Gas	2040	6	4.64935269070358
NW_Natural_Gas	2040	7	4.66736286133202
NW_Natural_Gas	2040	8	4.6770348419268
NW_Natural_Gas	2040	9	4.3379735595311
NW_Natural_Gas	2040	10	4.3531259861194
NW_Natural_Gas	2040	11	4.27536550251631
NW_Natural_Gas	2040	12	4.59751790882725
NW_Natural_Gas	2045	1	5.06597311197527
NW_Natural_Gas	2045	2	5.14658854278705
NW_Natural_Gas	2045	3	4.70703829345263
NW_Natural_Gas	2045	4	4.69986849938771
NW_Natural_Gas	2045	5	4.88764990061059
NW_Natural_Gas	2045	6	4.66862542995681
NW_Natural_Gas	2045	7	4.68671025728383
NW_Natural_Gas	2045	8	4.69642233067699
NW_Natural_Gas	2045	9	4.3559555537703
NW_Natural_Gas	2045	10	4.37117079098754
NW_Natural_Gas	2045	11	4.29308797057234
NW_Natural_Gas	2045	12	4.61657577983928
SW_Natural_Gas	2020	1	3.50735857223981
SW_Natural_Gas	2020	2	3.56317158507324
SW_Natural_Gas	2020	3	3.25885486233167
SW_Natural_Gas	2020	4	3.25389095152541
SW_Natural_Gas	2020	5	3.38389888736095
SW_Natural_Gas	2020	6	3.23226023123348
SW_Natural_Gas	2020	7	3.24478101899743
SW_Natural_Gas	2020	8	3.25150504281611
SW_Natural_Gas	2020	9	3.01578743394769
SW_Natural_Gas	2020	10	3.02632149946738
SW_Natural_Gas	2020	11	2.97226190549114
SW_Natural_Gas	2020	12	3.19622435372552
SW_Natural_Gas	2022	1	3.53361418142588
SW_Natural_Gas	2022	2	3.58984500288146
SW_Natural_Gas	2022	3	3.28325020654789
SW_Natural_Gas	2022	4	3.27824913658054
SW_Natural_Gas	2022	5	3.40923029413953
SW_Natural_Gas	2022	6	3.25645649165882
SW_Natural_Gas	2022	7	3.26907100833683
SW_Natural_Gas	2022	8	3.27584536728319
SW_Natural_Gas	2022	9	3.03836320845808
SW_Natural_Gas	2022	10	3.04897613055937
SW_Natural_Gas	2022	11	2.99451185381604
SW_Natural_Gas	2022	12	3.22015085447358
SW_Natural_Gas	2026	1	3.56533067165535
SW_Natural_Gas	2026	2	3.62206620138063
SW_Natural_Gas	2026	3	3.31271951693391
SW_Natural_Gas	2026	4	3.30767355910427
SW_Natural_Gas	2026	5	3.43983035791628
SW_Natural_Gas	2026	6	3.28568531099152
SW_Natural_Gas	2026	7	3.29841305117794
SW_Natural_Gas	2026	8	3.30524821441088
SW_Natural_Gas	2026	9	3.06563449843682
SW_Natural_Gas	2026	10	3.07634267843069
SW_Natural_Gas	2026	11	3.02138954930776
