period	ghg_emissions_target_tco2_per_year	ghg_emissions_credit_tco2_per_year
2020	49984794.432925	-5497381.38043869
2022	45377226.5082972	-5504661.8373301
2026	36162090.6590416	-5497663.73895212
2030	26946954.809786	-5480417.63395418
2035	22720842.211636	-2740208.81697709
2040	16111612.5694203	0
2045	10304029.8492966	0
