timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20200101	221.730160044618	221.730160044618	982.114722799029	984.022318152062	0	770	385
20200102	209.184102139242	209.184102139242	982.114722799029	984.022318152062	0	770	385
20200103	200.673527377942	200.673527377942	982.114722799029	984.022318152062	0	770	385
20200104	195.959169133677	195.959169133677	982.114722799029	984.022318152062	0	770	385
20200105	195.543807863397	195.543807863397	982.114722799029	984.022318152062	0	770	385
20200106	199.119917146098	199.119917146098	982.114722799029	984.022318152062	0	770	385
20200107	204.484610402419	204.484610402419	1011.1948996015	1724.24815705593	0	770	385
20200108	205.179527505241	205.179527505241	2138.78306769993	2702.23391741858	0	770	385
20200109	212.272548077317	212.272548077317	3152.88196073391	2839.46561321855	0	770	385
20200110	220.036113102284	220.036113102284	2442.48986680683	2301.10713164078	0	770	385
20200111	225.165121999129	225.165121999129	2071.23857964866	2089.3563825968	0	770	385
20200112	226.809684263162	226.809684263162	2042.55085401703	1961.81415797197	0	770	385
20200113	226.309640130263	226.309640130263	2051.77002156241	1940.31595096778	0	770	385
20200114	224.036994911836	224.036994911836	2065.8378298466	2086.45187245385	0	770	385
20200115	221.410304924473	221.410304924473	2353.35688391549	2264.78166986152	0	770	385
20200116	220.845422182238	220.845422182238	3076.08151861391	2737.8804054443	0	770	385
20200117	230.426438024627	230.426438024627	2306.29445081763	2804.08428622299	0	770	385
20200118	271.216018103729	271.216018103729	1010.62495036745	1723.37841624275	0	770	385
20200119	280.004903835209	280.004903835209	1169.82472030606	1171.27408024004	0	770	385
20200120	276.041071572406	276.041071572406	1240.98314323183	1242.35163213298	0	770	385
20200121	269.129853361027	269.129853361027	1186.86789453357	1188.29232624572	0	770	385
20200122	257.06948286122	257.06948286122	1166.19864884461	1167.65368375547	0	770	385
20200123	237.826888548363	237.826888548363	1115.90331666068	1117.44624456845	0	770	385
20200124	216.498296283047	216.498296283047	1002.22631239303	1004.06124321212	0	770	385
20200201	202.756849572502	202.756849572502	982.114722799029	984.022318152062	0	770	385
