period	non_modeled_rps_resources_mwh	rps_bank_planned_spend_mwh	pipeline_biogas_available_mmbtu_per_year	incremental_pipeline_biogas_cost_per_mmbtu	rps_unbundled_fraction_limit	retail_sales_mwh	RPS_as_fractions_of_retail_sales
2020	2847608.82	0	0	0	0.327894542325708	197315234.752843	0.33
2022	2847608.82	1724331.621697	0	0	0.317169944654578	196641588.343587	0.384
2026	2847608.82	23712970.1023547	0	0	0.30209003609729	197907306.063076	0.492
2030	2847608.82	0	0	0	0.291339295407357	204487736.533236	0.6
2035	2544074.82	0	0	0	0.280707464285666	240075910.081136	0.68800096764372
2040	1307955.6	0	0	0	0.270533457048421	307631718.760027	0.802949814874103
2045	1307955.6	0	0	0	0.266074886635039	350336090.159001	0.900634938614911
