period	period_planning_reserve_margin	prm_peak_load_mw	prm_annual_load_mwh	prm_planned_import_capacity_mw	prm_import_resource_capacity_adjustment_mw	local_capacity_deficiency_mw	allow_unspecified_import_contribution
2020	0.15	48676.2127446503	239433803.205621	5000	-1898.894	0	1
2022	0.15	49381.1808152305	243269157.45108	5000	-1898.894	0	1
2026	0.15	50534.370605321	249454951.602195	5000	-1418.894	0	1
2030	0.15	52150.9983226896	259523272.520913	5000	-1418.894	0	1
2035	0.15	55157.5544041648	298259644.176466	5000	-1418.894	0	1
2040	0.15	58616.6310570816	373524143.086979	5000	-1418.894	0	1
2045	0.15	61002.1802214069	424993333.310516	5000	-1418.894	0	1
