period	ghg_emissions_target_tco2_per_year	ghg_emissions_credit_tco2_per_year
2020	49874465.2837626	-5497381.38043869
2022	45193344.5930266	-5504661.8373301
2026	35831103.2115545	-5497663.73895212
2030	26468861.8300824	-5480417.63395418
2035	25170948.5291019	-2740208.81697709
2040	21225143.7481563	0
2045	15465730.0561402	0
