hydro_resource	ramp_duration	ramp_up	ramp_down
CAISO_Hydro	1	0.123311925473314	0.123311925473314
CAISO_Hydro	2	0.174646423541099	0.174646423541099
CAISO_Hydro	3	0.197162158165227	0.197162158165227
CAISO_Hydro	4	0.215645558965447	0.215645558965447
