period,baseline_distribution_cost,baseline_transmission_cost,baseline_generation_cost,baseline_dsm_cost,baseline_other_cost,scenario_distribution_cost,scenario_transmission_cost,scenario_generation_cost,scenario_dsm_cost,scenario_other_cost,scenario_customer_cost,shift_load_down_potential_factor,td_losses,pumping_loads_mwh,input_carbon_price_$_per_ton,energy_efficiency_mwh
2020,12468.3197115461,3938.4682893697,18074.8109922468,0,1081.95031932518,46.8734640818227,0,105.91714260596,1587.30289791182,0,3265.77467207044,0.166666666666667,0.0724,7918000,15.2487795643905,5929.70950703713
2022,14072.0163935329,3510.70412123263,18679.764064579,0,750.03330552658,48.6757157061879,0,165.150843329982,1587.30289791182,0,3536.74214983926,0.166666666666667,0.0724,7950000,16.8369561707227,10186.1455383382
2026,14311.3710081475,4189.09578340911,16118.3148826606,0,-1760.00799401613,49.0236508417392,0,203.322595680467,1587.30289791182,0,3984.83473791408,0.166666666666667,0.0724,8008000,20.5924210164146,19549.9878502936
2030,14981.3436776693,4735.00557016946,16110.6607878188,0,-2594.13501248805,46.7910570011379,0,220.56769268056,1587.30289791182,0,4415.32684500631,0.166666666666667,0.0724,8047000,25.2475978830692,27940.0559876214
