zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28329294.77639202
IID,2022,729298.2748656464,26447653.819564115
IID,2026,729298.2748656464,29375293.74606627
IID,2030,729298.2748656464,30481162.308680646
LDWP,2020,13199.194695043863,480067.95146191685
LDWP,2022,13199.194695043863,468121.56188804127
LDWP,2026,13199.194695043863,485120.4753963629
LDWP,2030,13199.194695043863,489915.82984205626
NW,2020,3681098.0776870493,87324292.3367863
NW,2022,3349408.387813327,91978298.17424624
NW,2026,3618737.758211418,99459195.68696229
NW,2030,3258311.830463818,96555160.59840879
SW,2020,397143.1904552827,9313254.855070425
SW,2022,397143.1904552827,9414722.115933407
SW,2026,397143.1904552827,9458498.405191157
SW,2030,397143.1904552827,9606330.179124916
