period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,50943189.48,-5497381.38,0,10584579.37,28757903.32
2022,46974551.58,-5504661.84,0,12745791.73,15881649.37
2026,39037275.79,-5497663.74,-16.40,13427360.61,20112251.44
2030,31100000.00,-5480417.63,-177.19,5539582.88,20079999.49
