zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26519331.10388233
IID,2026,729298.2748656464,29138685.730438948
IID,2030,729298.2748656464,29954384.45615068
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,469459.0137361287
LDWP,2026,13199.194695043863,489536.08876745723
LDWP,2030,13199.194695043863,490028.6079386966
NW,2020,3679179.1719104126,86704752.16896626
NW,2022,3482931.609426755,93229582.02977069
NW,2026,3606509.893832079,98486487.51241252
NW,2030,3294710.5589139997,97885044.14065664
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9347130.828509958
SW,2026,397143.1904552827,9399317.287744543
SW,2030,397143.1904552827,9574807.27984728
