zone,period,rps_eligible_gen_mwh,scheduled_curtailment_mwh,Subhourly_Downward_LF_Energy_MWh,rps_storage_losses_mwh,rps_target_mwh,rps_banked_mwh,rps_constraint_dual_$,rps_nonmodeled_mwh,rps_net_bank_spent_mwh,rps_previously_banked_mwh,pipeline_biogas_generation_mwh,pipeline_biogas_cost_$_per_year,pipeline_biogas_max_dual_$_per_mmbtu,rps_unbundled_fraction_limit_dual_$_per_mwh,rps_target_before_ee_mwh
CAISO,2020,80890299.06,255331.68,207335.57,482819.74,65867952.41,,0,2847608.82,0,0,0,0,0,0,65867952.41
CAISO,2022,113848053.80,6664869.76,1035636.42,1977393.53,76693566.26,,0,2847608.82,1724331.62,1724331.62,0,0,0,0,76693566.26
CAISO,2026,116608808.28,3904115.29,647942.85,2909465.63,97627362.17,,0,2847608.82,23712970.10,23712970.10,0,0,0,0,97627362.17
CAISO,2030,119165398.93,4779269.45,773480.40,3907341.99,116763872.30,,0,2847608.82,0,0,0,0,0,0,116763872.30
CAISO,2045,282176630.76,35078361.01,2340994.69,24111849.24,212686892.58,,0,1307955.60,0,0,0,0,0,0,212686892.58
