period,prm_peak_load_MW,planning_reserve_margin_fraction,capacity_target_MW,system_capacity_MW,firm_capacity_MW,prm_planned_import_capacity_MW,prm_import_resource_capacity_adjustment_MW,storage_ELCC_MW,new_renewable_import_capacity_MW,variable_renewable_ELCC_MW,planning_reserve_margin_dual_$,local_capacity_deficiency_MW,local_capacity_dual_$,marginal_solar_elcc_mw_per_fraction_of_annual_load,marginal_wind_elcc_mw_per_fraction_of_annual_load,active_elcc_facet_index,prm_peak_load_MW_before_EE_MW
2020,49406.66,0.15,56817.66,57429.17,42935.92,5000.00,-1898.89,2883.65,0,8508.49,0,0,0,3159.97,25524.01,17,49406.66
2022,50404.99,0.15,57965.74,57965.74,40509.53,5000.00,-1898.89,4343.18,0,10011.93,-282908.90,0,0,2092.16,17136.12,23,50404.99
2026,51344.00,0.15,59045.61,59045.61,37754.84,5000.00,-1418.89,7421.61,0,10288.05,-30990.94,0,0,2131.14,17455.36,23,51344.00
2030,51747.29,0.15,59509.39,59509.39,29597.66,5000.00,-1418.89,15829.36,0,10501.26,-119.38,0,0,2147.88,17592.46,23,51747.29
