period	non_modeled_rps_resources_mwh	rps_bank_planned_spend_mwh	pipeline_biogas_available_mmbtu_per_year	incremental_pipeline_biogas_cost_per_mmbtu	rps_unbundled_fraction_limit	retail_sales_mwh	RPS_as_fractions_of_retail_sales
2020	2847608.82	0	0	0	0.327896518867134	197310228.088347	0.33
2022	2847608.82	1724331.621697	0	0	0.317180319813599	196611219.513029	0.384
2026	2847608.82	23712970.1023547	0	0	0.30219563458186	197506914.118942	0.492
2030	2847608.82	0	0	0	0.291916497223864	201671883.568475	0.6
2035	2544074.82	0	0	0	0.283685188444092	221697071.927537	0.679176498891723
2040	1307955.6	0	0	0	0.276241524686877	248369441.52064	0.778205619782251
2045	1307955.6	0	0	0	0.272106671178286	263991621.839247	0.869096683727246
