resource	period	day_id	hydrogen_electrolysis_load_min_mw	hydrogen_electrolysis_load_daily_mwh
Hydrogen_electrolysis	2020	1	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	2	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	3	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	4	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	5	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	6	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	7	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	8	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	9	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	10	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	11	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	12	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	13	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	14	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	15	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	16	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	17	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	18	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	19	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	20	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	21	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	22	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	23	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	24	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	25	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	26	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	27	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	28	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	29	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	30	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	31	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	32	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	33	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	34	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	35	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	36	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2020	37	5.78903357315234	555.747223022624
Hydrogen_electrolysis	2022	1	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	2	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	3	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	4	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	5	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	6	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	7	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	8	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	9	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	10	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	11	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	12	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	13	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	14	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	15	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	16	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	17	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	18	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	19	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	20	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	21	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	22	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	23	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	24	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	25	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	26	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	27	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	28	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	29	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	30	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	31	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	32	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	33	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	34	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	35	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	36	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2022	37	9.45068897730301	907.266141821089
Hydrogen_electrolysis	2026	1	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	2	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	3	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	4	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	5	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	6	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	7	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	8	17.4409786128026	1674.33394682905
Hydrogen_electrolysis	2026	9	17.4409786128026	1674.33394682905
