period	period_planning_reserve_margin	prm_peak_load_mw	prm_annual_load_mwh	prm_planned_import_capacity_mw	prm_import_resource_capacity_adjustment_mw	local_capacity_deficiency_mw	allow_unspecified_import_contribution
2020	0.15	48687.4569310921	239500340.9632	5000	-1898.894	0	1
2022	0.15	49404.1096387392	243381004.665678	5000	-1898.894	0	1
2026	0.15	50626.5605606493	249540522.202957	5000	-1418.894	0	1
2030	0.15	52304.0591411426	258366201.678186	5000	-1418.894	0	1
2035	0.15	54777.8361936762	286291011.364334	5000	-1418.894	0	1
2040	0.15	58074.5044578678	323921200.960533	5000	-1418.894	0	1
2045	0.15	60564.0511665094	350310371.432488	5000	-1418.894	0	1
