period	ghg_emissions_target_tco2_per_year	ghg_emissions_credit_tco2_per_year
2020	50409928.9719236	-5497381.38043869
2022	46085784.0732949	-5504661.8373301
2026	37437494.2760374	-5497663.73895212
2030	28789204.4787799	-5480417.63395418
2035	24722544.4939585	-2740208.81697709
2040	18428566.2499879	0
2045	12251462.9940921	0
