zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
CAISO,CAISO,CAISO_Biomass_for_CAISO,2030,6661279.200000033,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Biomass_for_Other,2020,102491.99999999926,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Biomass_for_Other,2022,102491.99999999926,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Biomass_for_Other,2026,102491.99999999926,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Biomass_for_Other,2030,102491.99999999926,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CCGT1,2020,56947634.117410436,-97106.69163568954,0.0,0.0,0.0
CAISO,CAISO,CAISO_CCGT1,2022,31368692.148708332,-78279.4161976623,0.0,342.63928053055827,342.63927082306685
CAISO,CAISO,CAISO_CCGT1,2026,41256942.63550207,-28602.573357540932,0.0,488.7763549475947,488.77635899465827
CAISO,CAISO,CAISO_CCGT1,2030,34331378.25732431,82052.85862140317,0.0,1067.1117974895606,1067.1117882769552
CAISO,CAISO,CAISO_CCGT2,2020,228805.99743353116,1326.95143002944,0.0,16.381024733891127,16.381024733891127
CAISO,CAISO,CAISO_CCGT2,2022,11609.854109084163,-337.34428641956487,0.0,27.258784041543088,27.258784041543088
CAISO,CAISO,CAISO_CCGT2,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CCGT2,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CHP,2020,10881055.305580143,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CHP,2022,10881055.305580143,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CHP,2026,10881055.305580143,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_CHP,2030,10881055.305580143,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Coal,2020,1854958.5714144362,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Coal,2022,419334.9969771587,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Coal,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Coal,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,CAISO_Existing_Pumped_Storage,2020,-60304.53887934241,-150763.5314148415,0.0,0.0,0.0
CAISO,CAISO,CAISO_Existing_Pumped_Storage,2022,-990705.9485858964,175511.35095609952,0.0,0.0,0.0
CAISO,CAISO,CAISO_Existing_Pumped_Storage,2026,-1095880.987921796,177716.19917459105,0.0,0.0,0.0
CAISO,CAISO,CAISO_Existing_Pumped_Storage,2030,-1271827.9635670623,313649.4177406033,0.0,0.0,0.0
