zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
CAISO,CAISO,SCADSNV_Solar,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2035,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2040,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SCADSNV_Wind,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2035,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2040,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,SW_Ext_Tx_Wind,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2022,302285.16782375344,0.0,18773.76127000138,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2026,299110.9259148654,0.0,21947.655787553478,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2030,4009795.6184947425,0.0,396850.41612509335,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2035,15322018.198674006,0.0,2401014.2720677536,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2040,19752111.03119016,0.0,2316004.039055459,0.0,0.0
CAISO,CAISO,Sacramento_River_Solar,2045,38286823.33227154,0.0,8772792.012593536,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2035,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2040,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Sacramento_River_Wind,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2022,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2026,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2030,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2035,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2040,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Geothermal,2045,1064339.9999999935,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Solar,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Solar,2022,1531754.152988215,0.0,58493.29584913761,0.0,0.0
CAISO,CAISO,Solano_Solar,2026,1471444.6484817278,0.0,118802.8393760556,0.0,0.0
CAISO,CAISO,Solano_Solar,2030,1489368.0814018957,0.0,100879.40645588723,0.0,0.0
CAISO,CAISO,Solano_Solar,2035,1487047.497735529,0.0,103199.99012225405,0.0,0.0
CAISO,CAISO,Solano_Solar,2040,1502873.9880961953,0.0,87373.499761588,0.0,0.0
CAISO,CAISO,Solano_Solar,2045,1248603.285739481,0.0,341644.2021183027,0.0,0.0
CAISO,CAISO,Solano_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_Wind,2022,1403013.6072404715,0.0,38204.835554288475,0.0,0.0
CAISO,CAISO,Solano_Wind,2026,1424498.2505903575,0.0,16720.19220440253,0.0,0.0
CAISO,CAISO,Solano_Wind,2030,1428993.4163190585,0.0,12225.02647570167,0.0,0.0
CAISO,CAISO,Solano_Wind,2035,1424576.2290358972,0.0,16642.213758862672,0.0,0.0
CAISO,CAISO,Solano_Wind,2040,1423494.2567090583,0.0,17724.18608570185,0.0,0.0
CAISO,CAISO,Solano_Wind,2045,1331274.6666575107,0.0,109943.77613724917,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2035,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2040,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Solar,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2030,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2035,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2040,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Solano_subzone_Wind,2045,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2022,2150971.4415013716,0.0,192340.36236366932,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2026,2205437.796564356,0.0,137874.00730068565,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2030,2220580.4067029045,0.0,122731.39716213707,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2035,2134219.2861834755,0.0,209092.51768156525,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2040,2233980.2396691227,0.0,109331.56419591905,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Solar,2045,1936285.6598832267,0.0,407026.1439818133,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Wind,2020,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Wind,2022,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Wind,2026,0.0,0.0,0.0,0.0,0.0
CAISO,CAISO,Southern_California_Desert_Ex_Wind,2030,0.0,0.0,0.0,0.0,0.0
