period	ghg_emissions_target_tco2_per_year	ghg_emissions_credit_tco2_per_year
2020	49373958.7075898	-5497381.38043869
2022	44359166.9660718	-5504661.8373301
2026	34329583.4830359	-5497663.73895212
2030	24300000	-5480417.63395418
