zone,period,rps_eligible_gen_mwh,scheduled_curtailment_mwh,Subhourly_Downward_LF_Energy_MWh,rps_storage_losses_mwh,rps_target_mwh,rps_banked_mwh,rps_constraint_dual_$,rps_nonmodeled_mwh,rps_net_bank_spent_mwh,rps_previously_banked_mwh,pipeline_biogas_generation_mwh,pipeline_biogas_cost_$_per_year,pipeline_biogas_max_dual_$_per_mmbtu,rps_unbundled_fraction_limit_dual_$_per_mwh,rps_target_before_ee_mwh
CAISO,2020,80953101.36,192529.38,178169.90,457237.64,67233278.00,,0,2847608.82,0,0,0,0,0,0,67233278.00
CAISO,2022,117863528.82,6496640.10,792529.94,2281921.03,78933244.60,,0,2847608.82,1724331.62,1724331.62,0,0,0,0,78933244.60
CAISO,2026,120958368.84,3401800.09,438813.93,3233794.68,102150669.07,,0,2847608.82,23712970.10,23712970.10,0,0,0,0,102150669.07
CAISO,2030,132976632.07,5067579.16,721145.81,5312309.41,124053375.83,,0,2847608.82,0,0,0,0,0,0,124053375.83
