period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,52512420.25,-5497381.38,0,10844610.78,30172370.35
2022,49589936.20,-5504661.84,0,11904510.09,18537760.85
2026,43744968.10,-5497663.74,0,13735411.95,22926972.17
2030,37900000.00,-5480417.63,-118.99,10470732.14,21948850.22
