period,prm_peak_load_MW,planning_reserve_margin_fraction,capacity_target_MW,system_capacity_MW,firm_capacity_MW,prm_planned_import_capacity_MW,prm_import_resource_capacity_adjustment_MW,storage_ELCC_MW,new_renewable_import_capacity_MW,variable_renewable_ELCC_MW,planning_reserve_margin_dual_$,local_capacity_deficiency_MW,local_capacity_dual_$,marginal_solar_elcc_mw_per_fraction_of_annual_load,marginal_wind_elcc_mw_per_fraction_of_annual_load,active_elcc_facet_index,prm_peak_load_MW_before_EE_MW
2020,49406.66,0.15,56817.66,56817.66,44893.32,2000.00,-1898.89,3314.74,0,8508.49,-546212.67,0,0,3159.97,25524.01,17,49406.66
2022,50404.99,0.15,57965.74,57965.74,41524.37,2000.00,-1898.89,6676.66,0,9663.60,-312835.49,0,0,2092.16,17136.12,23,50404.99
2026,51344.00,0.15,59045.61,59045.61,38769.69,2000.00,-1418.89,9831.96,0,9862.85,-105626.50,0,0,1785.26,26680.50,21,51344.00
2030,51747.29,0.15,59509.39,59509.39,33710.91,2000.00,-1418.89,14891.08,0,10326.29,-10174.23,0,0,2147.88,17592.46,23,51747.29
