timepoint,period,day,hour_of_day,day_weight,period_discount_factor,min_gen_req,spin_req,upward_lf_req,downward_lf_req,upward_reg_req,downward_reg_req,min_local_gen_dual_$,total_fr_dual_$,partial_fr_dual_$,spin_dual_$,upward_lf_dual_$,upward_reg_dual_$,downward_reg_dual_$,max_downward_lf_dual_$,var_renw_down_lf_limit_dual_$,var_renw_down_lf_availability_dual_$,max_variable_upward_lf_dual_$,available_variable_upward_lf_dual_$,upward_reg_violation_mw,downward_reg_violation_mw,upward_lf_reserve_violation_mw,downward_lf_reserve_violation_mw,spin_violation_mw
20452609,2045,26,8,33.4013824732265,6.69516331328125,0,1157.36,7592.06,7349.41,385.79,385.79,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452610,2045,26,9,33.4013824732265,6.69516331328125,0,1160.98,7212.02,5880.71,386.99,386.99,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452611,2045,26,10,33.4013824732265,6.69516331328125,0,1144.96,7063.87,5297.12,381.65,381.65,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452612,2045,26,11,33.4013824732265,6.69516331328125,0,1121.88,6749.31,4837.08,373.96,373.96,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452613,2045,26,12,33.4013824732265,6.69516331328125,0,1099.62,6873.11,5050.44,366.54,366.54,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452614,2045,26,13,33.4013824732265,6.69516331328125,0,1076.23,7170.12,5462.71,358.74,358.74,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452615,2045,26,14,33.4013824732265,6.69516331328125,0,1064.73,7419.35,6071.67,354.91,354.91,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452616,2045,26,15,33.4013824732265,6.69516331328125,0,1068.15,7768.57,7621.48,356.05,356.05,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452617,2045,26,16,33.4013824732265,6.69516331328125,0,1105.54,5308.96,6679.89,368.51,368.51,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452618,2045,26,17,33.4013824732265,6.69516331328125,0,1296.66,1979.98,4177.98,432.22,432.22,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452619,2045,26,18,33.4013824732265,6.69516331328125,0,1355.72,2173.53,2177.07,451.91,451.91,,0,0,0,42.24,42.24,-35.90,-35.90,0,0,0,-42.24,0,0,0,0,0
20452620,2045,26,19,33.4013824732265,6.69516331328125,0,1351.17,2148.96,2152.48,450.39,450.39,,0,0,0,42.24,42.24,-37.56,-37.56,0,0,0,-42.24,0,0,0,0,0
20452621,2045,26,20,33.4013824732265,6.69516331328125,0,1357.14,2151.38,2154.92,452.38,452.38,,0,0,0,42.24,42.24,-37.56,-37.56,0,0,0,-42.24,0,0,0,0,0
20452622,2045,26,21,33.4013824732265,6.69516331328125,0,1410.81,2173.04,2176.60,470.27,470.27,,0,0,0,42.24,42.24,-37.56,-37.56,0,0,0,-42.24,0,0,0,0,0
20452623,2045,26,22,33.4013824732265,6.69516331328125,0,1358.23,2212.57,2216.20,452.74,452.74,,0,0,0,42.24,42.24,-37.56,-37.56,0,0,0,-42.24,0,0,0,0,0
20452624,2045,26,23,33.4013824732265,6.69516331328125,0,1283.23,1839.03,1843.33,427.74,427.74,,0,0,0,42.24,42.24,-37.56,-37.56,0,0,0,-42.24,0,0,0,0,0
20452701,2045,27,0,0.880895257736223,6.69516331328125,0,1204.93,982.28,988.87,401.64,401.64,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452702,2045,27,1,0.880895257736223,6.69516331328125,0,1157.56,982.28,988.87,385.85,385.85,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452703,2045,27,2,0.880895257736223,6.69516331328125,0,1122.65,982.28,988.87,374.22,374.22,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452704,2045,27,3,0.880895257736223,6.69516331328125,0,1104.56,982.28,988.87,368.19,368.19,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452705,2045,27,4,0.880895257736223,6.69516331328125,0,1116.60,982.28,988.87,372.20,372.20,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452706,2045,27,5,0.880895257736223,6.69516331328125,0,1170.43,1140.14,3768.77,390.14,390.14,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452707,2045,27,6,0.880895257736223,6.69516331328125,0,1253.73,1290.56,3936.89,417.91,417.91,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452708,2045,27,7,0.880895257736223,6.69516331328125,0,1313.18,6601.76,7525.08,437.73,437.73,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452709,2045,27,8,0.880895257736223,6.69516331328125,0,1307.21,8248.55,8499.06,435.74,435.74,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452710,2045,27,9,0.880895257736223,6.69516331328125,0,1285.06,8304.17,8015.87,428.35,428.35,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452711,2045,27,10,0.880895257736223,6.69516331328125,0,1266.83,8202.90,7373.57,422.28,422.28,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452712,2045,27,11,0.880895257736223,6.69516331328125,0,1239.23,8157.69,7124.81,413.08,413.08,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
20452713,2045,27,12,0.880895257736223,6.69516331328125,0,1224.35,8191.69,7271.33,408.12,408.12,,0,0,0,47.10,47.10,-40.04,-40.04,0,0,0,-47.10,0,0,0,0,0
