period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,50943189.48,-5497381.38,0,10584579.37,28757903.32
2022,46974551.58,-5504661.84,0,11770234.31,17053848.14
2026,39037275.79,-5497663.74,-21.10,13073657.31,20465954.74
2030,31100000.00,-5480417.63,-200.51,5186930.25,20432652.12
2045,12251462.99,0,-398.32,674380.85,11577082.14
