timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20200101	227.766673060459	227.766673060459	982.114722799029	984.022318152062	0	770	385
20200102	214.118667807233	214.118667807233	982.114722799029	984.022318152062	0	770	385
20200103	204.402536251825	204.402536251825	982.114722799029	984.022318152062	0	770	385
20200104	198.86209930577	198.86209930577	982.114722799029	984.022318152062	0	770	385
20200105	197.608929066814	197.608929066814	982.114722799029	984.022318152062	0	770	385
20200106	200.487018228062	200.487018228062	982.114722799029	984.022318152062	0	770	385
20200107	205.364285006116	205.364285006116	1011.1948996015	1724.24815705593	0	770	385
20200108	205.799342874038	205.799342874038	2138.78306769993	2702.23391741858	0	770	385
20200109	212.873741897668	212.873741897668	3152.88196073391	2839.46561321855	0	770	385
20200110	220.439974891193	220.439974891193	2442.48986680683	2301.10713164078	0	770	385
20200111	225.529522645995	225.529522645995	2071.23857964866	2089.3563825968	0	770	385
20200112	227.376599487541	227.376599487541	2042.55085401703	1961.81415797197	0	770	385
20200113	227.497427830966	227.497427830966	2051.77002156241	1940.31595096778	0	770	385
20200114	225.560470771461	225.560470771461	2065.8378298466	2086.45187245385	0	770	385
20200115	223.365672456303	223.365672456303	2353.35688391549	2264.78166986152	0	770	385
20200116	222.585943708389	222.585943708389	3076.08151861391	2737.8804054443	0	770	385
20200117	230.696932120927	230.696932120927	2306.29445081763	2804.08428622299	0	770	385
20200118	271.699264417011	271.699264417011	1010.62495036745	1723.37841624275	0	770	385
20200119	280.811185390463	280.811185390463	1169.82472030606	1171.27408024004	0	770	385
20200120	277.007619226795	277.007619226795	1240.98314323183	1242.35163213298	0	770	385
20200121	271.674102183143	271.674102183143	1186.86789453357	1188.29232624572	0	770	385
20200122	264.48705287027	264.48705287027	1166.19864884461	1167.65368375547	0	770	385
20200123	245.165386220263	245.165386220263	1115.90331666068	1117.44624456845	0	770	385
20200124	223.365089094755	223.365089094755	1002.22631239303	1004.06124321212	0	770	385
20200201	208.869052497329	208.869052497329	982.114722799029	984.022318152062	0	770	385
20200202	199.843413396963	199.843413396963	982.114722799029	984.022318152062	0	770	385
20200203	195.259842934026	195.259842934026	982.114722799029	984.022318152062	0	770	385
20200204	193.933616189144	193.933616189144	982.114722799029	984.022318152062	0	770	385
20200205	199.251756772356	199.251756772356	982.114722799029	984.022318152062	0	770	385
20200206	215.894905404264	215.894905404264	982.114722799029	984.022318152062	0	770	385
20200207	240.628959231913	240.628959231913	1011.14292073075	1724.1662418526	0	770	385
20200208	254.390308922432	254.390308922432	2018.6581956186	2626.14949496544	0	770	385
20200209	265.69932594482	265.69932594482	3235.06770143652	2971.68931967986	0	770	385
20200210	272.561489921684	272.561489921684	2560.83187347866	2475.49148711941	0	770	385
20200211	277.94695074146	277.94695074146	2141.02151772816	2189.77211842465	0	770	385
20200212	278.069568687125	278.069568687125	2184.00065135362	2025.9237169874	0	770	385
20200213	275.67003402888	275.67003402888	2206.12300156296	2050.0836586373	0	770	385
20200214	273.641241880246	273.641241880246	2159.31651946623	2192.87193254265	0	770	385
20200215	272.660707521358	272.660707521358	2336.79905054544	2357.58061719366	0	770	385
20200216	269.493266456072	269.493266456072	3052.99671166821	2761.85706777254	0	770	385
20200217	271.155390831948	271.155390831948	2250.63352371572	2782.03872527671	0	770	385
20200218	306.525170994745	306.525170994745	1176.83266109484	1805.96208890778	0	770	385
20200219	312.331028759528	312.331028759528	1515.80886896964	1516.96851842007	0	770	385
20200220	305.996895695398	305.996895695398	1558.53556287893	1559.67071421543	0	770	385
20200221	297.071606276896	297.071606276896	1506.77742177352	1507.94209645573	0	770	385
20200222	285.354025900293	285.354025900293	1404.77394901277	1406.00446025493	0	770	385
20200223	262.634460952487	262.634460952487	1188.87631440032	1190.29712072414	0	770	385
20200224	239.405617996072	239.405617996072	1096.68064328058	1098.26243171969	0	770	385
20200301	212.503707682011	212.503707682011	982.114722799029	984.022318152062	0	770	385
20200302	203.465612303128	203.465612303128	982.114722799029	984.022318152062	0	770	385
20200303	198.538851926387	198.538851926387	982.114722799029	984.022318152062	0	770	385
20200304	197.763722990983	197.763722990983	982.114722799029	984.022318152062	0	770	385
20200305	204.172136493563	204.172136493563	982.114722799029	984.022318152062	0	770	385
20200306	220.464620784676	220.464620784676	982.114722799029	984.022318152062	0	770	385
20200307	245.438817157117	245.438817157117	1031.11961364126	1751.49130307074	0	770	385
20200308	260.677789447888	260.677789447888	2358.76820165472	2835.95656928391	0	770	385
20200309	272.538716693406	272.538716693406	3188.01946436602	2879.89803584747	0	770	385
20200310	280.100520938012	280.100520938012	2486.75964251091	2380.60116252146	0	770	385
20200311	282.24734247498	282.24734247498	2187.83749802661	2224.49344142625	0	770	385
20200312	281.650712005895	281.650712005895	2243.74875896709	2013.58485857793	0	770	385
20200313	279.801725440346	279.801725440346	2268.12608910073	2099.56068147533	0	770	385
20200314	278.750486648192	278.750486648192	2217.39804184262	2204.11076581595	0	770	385
20200315	275.06577545874	275.06577545874	2300.77430427301	2356.89796548226	0	770	385
20200316	272.54615992484	272.54615992484	2909.84037984529	2675.89706734329	0	770	385
20200317	273.765500182078	273.765500182078	2952.42699087301	3119.33108454634	0	770	385
20200318	293.590799229983	293.590799229983	1255.21273231777	1917.1522892566	0	770	385
20200319	313.86354557785	313.86354557785	1393.59244971845	1394.8315698849	0	770	385
20200320	309.526693109862	309.526693109862	1569.51223565602	1570.64148786675	0	770	385
20200321	301.34428747744	301.34428747744	1535.68825889617	1536.83609336866	0	770	385
20200322	289.898922511126	289.898922511126	1444.29960698591	1445.50335369248	0	770	385
20200323	265.646611721117	265.646611721117	1243.89558754081	1245.25985757062	0	770	385
20200324	240.308981332565	240.308981332565	1109.12591467826	1110.68216965177	0	770	385
