elcc_surface_facet	solar_coefficient	wind_coefficient	facet_intercept
1	1.24893311544303	0.347680375088617	0
2	1.33711549976451	0.30799830214395	0
3	1.33711549976451	0.261539567281778	4.64587348621714E-03
4	1.38021124602889	0.242146481462806	6.58518206811443E-03
5	0.97324077296443	0.410037685844453	1.24061554115369E-02
6	1.11181257464406	0.347680375088617	6.1704243359533E-03
7	1.11181257464406	0.284774221380014	1.24610397068136E-02
8	1.16344513930681	0.261539567281778	1.24610397068136E-02
9	0.512066887385898	0.471367945745818	5.39118051136048E-02
10	0.648356353833377	0.410037685844453	4.16457531333317E-02
11	0.648356353833377	0.318855605222074	5.07639611955694E-02
12	0.724092762371288	0.284774221380014	4.73558228113635E-02
13	0.146671003874349	0.509186147430864	0.103240249387664
14	0.23071145206334	0.471367945745818	0.09189478888215
15	0.230711452063341	0.336967081113639	0.105334875345368
16	0.270959176266819	0.318855605222073	0.101712580167055
17	6.39584181455963E-02	0.516610661198871	0.118128514818839
18	8.04573376300555E-02	0.509186147430865	0.115158709311637
19	8.04573376300561E-02	0.339526713913691	0.132124652663354
20	8.61454105190607E-02	0.336967081113639	0.131356762823338
21	3.47706465559163E-02	0.519642058338333	0.124695763426517
22	4.15070846436079E-02	0.516610661198871	0.123180064856787
23	4.15070846436082E-02	0.339968742611687	0.140844256715505
24	4.24893706391529E-02	0.339526713913692	0.140667445236307
