period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,49373958.71,-5497381.38,0,10651963.70,30243568.07
2022,44359166.97,-5504661.84,0,13161531.56,12775036.52
2026,34329583.48,-5497663.74,-206.29,6195043.41,22636876.34
2030,24300000.00,-5480417.63,-234.00,3054153.33,15765429.03
