period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,50409928.97,-5497381.38,0,10469916.48,28251749.47
2022,46085784.07,-5504661.84,0,12007737.87,14968187.65
2026,37437494.28,-5497663.74,-49.84,12412681.75,19527148.78
2030,28789204.48,-5480417.63,-220.57,4094966.54,19213820.31
2035,24722544.49,-2740208.82,-242.84,3739075.22,18243260.45
2040,18428566.25,0,-278.06,1643112.55,16785453.70
2045,12251462.99,0,-439.34,814379.44,11437083.55
