period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,49373958.71,-5497381.38,0,10623188.90,28719338.37
2022,44359166.97,-5504661.84,0,13305874.13,16249813.55
2026,34329583.48,-5497663.74,-207.87,7164256.55,21667663.19
2030,24300000.00,-5480417.63,-228.10,3489246.81,15330335.55
