period,prm_peak_load_MW,planning_reserve_margin_fraction,capacity_target_MW,system_capacity_MW,firm_capacity_MW,prm_planned_import_capacity_MW,prm_import_resource_capacity_adjustment_MW,storage_ELCC_MW,new_renewable_import_capacity_MW,variable_renewable_ELCC_MW,planning_reserve_margin_dual_$,local_capacity_deficiency_MW,local_capacity_dual_$,marginal_solar_elcc_mw_per_fraction_of_annual_load,marginal_wind_elcc_mw_per_fraction_of_annual_load,active_elcc_facet_index,prm_peak_load_MW_before_EE_MW
2020,48676.21,0.15,55977.64,57279.41,42935.92,5000.00,-1898.89,2883.65,0,8358.73,0,0,0,3113.25,25146.65,17,48676.21
2022,49381.18,0.15,56788.36,56788.36,40004.16,5000.00,-1898.89,3912.21,0,9770.88,-215355.92,0,0,2049.67,16788.06,23,49381.18
2026,50534.37,0.15,58114.53,58114.53,37249.47,5000.00,-1418.89,7263.98,0,10019.97,-65694.90,0,0,2097.53,17180.11,23,50534.37
2030,52151.00,0.15,59973.65,61654.12,34409.70,5000.00,-1418.89,13194.43,0,10468.88,0,0,0,2164.64,17729.71,23,52151.00
2035,55157.55,0.15,63431.19,65087.86,33681.86,5000.00,-1418.89,16876.34,0,10948.55,0,0,0,1917.86,28662.19,21,55157.55
2040,58616.63,0.15,67409.13,67488.64,33333.91,5000.00,-1418.89,19233.98,0,11339.64,0,0,0,2038.14,30459.67,21,58616.63
2045,61002.18,0.15,70152.51,70152.51,33687.42,5000.00,-1418.89,21026.25,0,11857.73,-5793.60,0,0,2121.09,31699.30,21,61002.18
