hydro_resource	day_id	hydro_energy_budget	min_hydro	max_hydro
CAISO_Hydro	1	0.383633273930489	0.312884801873603	0.535851440750975
CAISO_Hydro	2	0.143085092366833	5.81831774404604E-02	0.350005252524016
CAISO_Hydro	3	0.27600337999168	0.156442400936802	0.480407294825097
CAISO_Hydro	4	0.340593423924365	0.215083326447595	0.509278210451365
CAISO_Hydro	5	0.244361328094392	0.145197867169277	0.40015155826579
CAISO_Hydro	6	0.439513740432615	0.277120830267361	0.606879887153316
CAISO_Hydro	7	0.226888026238312	0.127793144385256	0.373336913208925
CAISO_Hydro	8	0.25198651743804	0.128605245792626	0.392419383955426
CAISO_Hydro	9	0.415161034670615	0.345272746386723	0.552051605283529
CAISO_Hydro	10	0.450051785508814	0.367429853541224	0.602584214586086
CAISO_Hydro	11	0.461546669676759	0.350147263910274	0.598588240104942
CAISO_Hydro	12	0.509981210366963	0.341356120051757	0.684601590811574
CAISO_Hydro	13	0.352721866895042	0.164199096183404	0.588813648607163
CAISO_Hydro	14	0.371679204364043	0.261836227876984	0.583003939628479
CAISO_Hydro	15	0.387130504527709	0.234363903319117	0.660725643286736
CAISO_Hydro	16	0.179155698091889	6.87455952741563E-02	0.367231491482242
CAISO_Hydro	17	0.219762911668089	0.139559408753967	0.411776433111443
CAISO_Hydro	18	0.185019442276044	9.22697635140304E-02	0.355970436959003
CAISO_Hydro	19	0.451967860898848	0.321276348284006	0.597589246484656
CAISO_Hydro	20	0.516826184078104	0.446050651457739	0.653432989858648
CAISO_Hydro	21	0.311872907633562	0.198032904258216	0.490472023425237
CAISO_Hydro	22	0.298932062054662	0.193630728183412	0.439122226743813
CAISO_Hydro	23	0.323875720080264	0.131960915637325	0.573760558937399
CAISO_Hydro	24	0.117593503341042	0.067427364732208	0.241740788449751
CAISO_Hydro	25	0.167037267370237	6.75508050130497E-02	0.320189990703542
CAISO_Hydro	26	0.212066022233533	9.33060041347207E-02	0.398090220513524
CAISO_Hydro	27	0.132638423418973	5.42858556157641E-02	0.342877373452418
CAISO_Hydro	28	0.15704050897698	4.71363035081761E-02	0.357236397237682
CAISO_Hydro	29	0.421923992035906	0.337959541742784	0.572214808529389
CAISO_Hydro	30	0.238655794218178	0.109077840366106	0.36688599779088
CAISO_Hydro	31	0.4575039505446	0.354343037115476	0.616470225908063
CAISO_Hydro	32	0.498233752938348	0.394302781926919	0.657229165615735
CAISO_Hydro	33	0.268791991400989	0.152528452871601	0.405500973501781
CAISO_Hydro	34	0.529314941949499	0.393203888944605	0.653532889220677
CAISO_Hydro	35	0.497989124450112	0.338558937914956	0.684002194639402
CAISO_Hydro	36	0.273849736429425	0.141406360755588	0.508488690754844
CAISO_Hydro	37	0.25019895443517	0.154844011144344	0.456231649214174
NW_Hydro	1	0.542449402428438	0.287550496944389	0.738543284941045
NW_Hydro	2	0.487501883875397	0.237622942140413	0.700010201035408
NW_Hydro	3	0.609154718645978	0.362462534847368	0.780387313229772
NW_Hydro	4	0.59944186694249	0.350447001324146	0.774588160098969
NW_Hydro	5	0.395261646037476	0.172523801724145	0.624334933161105
NW_Hydro	6	0.606664210279924	0.359342866450739	0.778909193739004
NW_Hydro	7	0.389283290114372	0.168980845321527	0.618836205864133
NW_Hydro	8	0.389283290114372	0.168980845321527	0.618836205864133
NW_Hydro	9	0.569019446022877	0.315329624340055	0.755796401343445
NW_Hydro	10	0.625070725317596	0.383048964923316	0.78969310916062
NW_Hydro	11	0.672647041791742	0.451823674604762	0.816159522013807
NW_Hydro	12	0.672647041791742	0.451823674604762	0.816159522013807
NW_Hydro	13	0.421515134291627	0.1889828992628	0.647536808903481
NW_Hydro	14	0.493924504387437	0.242979468271827	0.704732468296836
NW_Hydro	15	0.376833858925681	0.161834715865652	0.607109328359886
NW_Hydro	16	0.304058908236828	0.12571108007491	0.529688997381393
NW_Hydro	17	0.392053856490423	0.170613629688853	0.621394919827894
NW_Hydro	18	0.487501883875397	0.237622942140413	0.700010201035408
NW_Hydro	19	0.606664210279924	0.359342866450739	0.778909193739004
NW_Hydro	20	0.625070725317596	0.383048964923316	0.78969310916062
NW_Hydro	21	0.585725143424118	0.334153713861835	0.766236360692557
NW_Hydro	22	0.734170255076713	0.455528696538907	0.817419399526844
NW_Hydro	23	0.301675402099844	0.124675395115877	0.526849600022976
NW_Hydro	24	0.298680638386752	0.12338619250579	0.523250059130111
NW_Hydro	25	0.348248271605118	0.146549009159018	0.57864670661322
NW_Hydro	26	0.418698666760747	0.187144502403337	0.645117973053906
NW_Hydro	27	0.487501883875397	0.237622942140413	0.700010201035408
NW_Hydro	28	0.487501883875397	0.237622942140413	0.700010201035408
NW_Hydro	29	0.59944186694249	0.350447001324146	0.774588160098969
NW_Hydro	30	0.389283290114372	0.168980845321527	0.618836205864133
NW_Hydro	31	0.606664210279924	0.359342866450739	0.778909193739004
NW_Hydro	32	0.606664210279924	0.359342866450739	0.778909193739004
NW_Hydro	33	0.389283290114372	0.168980845321527	0.618836205864133
NW_Hydro	34	0.606664210279924	0.359342866450739	0.778909193739004
NW_Hydro	35	0.672647041791742	0.451823674604762	0.816159522013807
NW_Hydro	36	0.3564797045638	0.150796280174178	0.587075463281626
NW_Hydro	37	0.355108968152349	0.150080557310749	0.585685461707328
SW_Hydro	1	0.211858655158898	0.101313629011932	0.589012997876136
SW_Hydro	2	0.227213178505797	0.107553231051811	0.607231730493669
SW_Hydro	3	0.239018956609641	0.112874361756063	0.621094285010547
SW_Hydro	4	0.278691644083458	0.131955159218602	0.661556016226957
