period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,50943189.48,-5497381.38,0,10584579.37,28757903.32
2022,46974551.58,-5504661.84,0,11959234.30,17530279.67
2026,39037275.79,-5497663.74,-9.57,12521956.70,21017655.35
2030,31100000.00,-5480417.63,-222.60,4715595.73,20903986.64
