day_id	day_weight
1	14.2498665899213
2	5.90752557717969
3	28.0221528838783
4	14.341145931673
5	6.69944357053316
6	0.495311596114082
7	2.19706674130592
8	1.13313588354236
9	5.38440171381315
10	3.90204303632926
11	9.22766481796804
12	1.63129877749772
13	31.7889354218971
14	4.54237514698741
15	13.816653790394
16	16.3482292019342
17	19.0424142943284
18	0.664208233195452
19	0.821529880389382
20	5.80847244603401
21	15.3613403787468
22	17.7328504834088
23	20.80665612369
24	1.16653864790048
25	12.4466990020458
26	33.4013824732265
27	0.880895257736223
28	7.92229939204588
29	8.91303144146386
30	3.38091952097577
31	9.04535945348181
32	5.71836416428298
33	4.80971707239358
34	0.903316297038638
35	1.7476211467505
36	5.81079342719607
37	28.9283401827003
