simultaneous_flow_group,period,timepoint_id,day,hour_of_day,day_weight,simultaneous_flow_group_dual_$
NW_to_CA,2020,20200202,2,1,5.90752557717969,0
CAISO_Export_Limit,2020,20200202,2,1,5.90752557717969,0
CAISO_Import_Limit,2020,20200202,2,1,5.90752557717969,0
CA_to_NW,2020,20200203,2,2,5.90752557717969,0
NW_to_CA,2020,20200203,2,2,5.90752557717969,0
CAISO_Export_Limit,2020,20200203,2,2,5.90752557717969,0
CAISO_Import_Limit,2020,20200203,2,2,5.90752557717969,0
CA_to_NW,2020,20200204,2,3,5.90752557717969,0
NW_to_CA,2020,20200204,2,3,5.90752557717969,0
CAISO_Export_Limit,2020,20200204,2,3,5.90752557717969,0
CAISO_Import_Limit,2020,20200204,2,3,5.90752557717969,0
CA_to_NW,2020,20200205,2,4,5.90752557717969,0
NW_to_CA,2020,20200205,2,4,5.90752557717969,0
CAISO_Export_Limit,2020,20200205,2,4,5.90752557717969,0
CAISO_Import_Limit,2020,20200205,2,4,5.90752557717969,0
CA_to_NW,2020,20200206,2,5,5.90752557717969,0
NW_to_CA,2020,20200206,2,5,5.90752557717969,0
CAISO_Export_Limit,2020,20200206,2,5,5.90752557717969,0
CAISO_Import_Limit,2020,20200206,2,5,5.90752557717969,0
CA_to_NW,2020,20200207,2,6,5.90752557717969,0
NW_to_CA,2020,20200207,2,6,5.90752557717969,0
CAISO_Export_Limit,2020,20200207,2,6,5.90752557717969,0
CAISO_Import_Limit,2020,20200207,2,6,5.90752557717969,0
CA_to_NW,2020,20200208,2,7,5.90752557717969,0
NW_to_CA,2020,20200208,2,7,5.90752557717969,0
CAISO_Export_Limit,2020,20200208,2,7,5.90752557717969,0
CAISO_Import_Limit,2020,20200208,2,7,5.90752557717969,0
CA_to_NW,2020,20200209,2,8,5.90752557717969,0
NW_to_CA,2020,20200209,2,8,5.90752557717969,0
CAISO_Export_Limit,2020,20200209,2,8,5.90752557717969,0
CAISO_Import_Limit,2020,20200209,2,8,5.90752557717969,0
CA_to_NW,2020,20200210,2,9,5.90752557717969,0
NW_to_CA,2020,20200210,2,9,5.90752557717969,0
CAISO_Export_Limit,2020,20200210,2,9,5.90752557717969,0
CAISO_Import_Limit,2020,20200210,2,9,5.90752557717969,0
CA_to_NW,2020,20200211,2,10,5.90752557717969,0
NW_to_CA,2020,20200211,2,10,5.90752557717969,0
CAISO_Export_Limit,2020,20200211,2,10,5.90752557717969,0
CAISO_Import_Limit,2020,20200211,2,10,5.90752557717969,0
CA_to_NW,2020,20200212,2,11,5.90752557717969,0
NW_to_CA,2020,20200212,2,11,5.90752557717969,0
CAISO_Export_Limit,2020,20200212,2,11,5.90752557717969,0
CAISO_Import_Limit,2020,20200212,2,11,5.90752557717969,0
CA_to_NW,2020,20200213,2,12,5.90752557717969,0
NW_to_CA,2020,20200213,2,12,5.90752557717969,0
CAISO_Export_Limit,2020,20200213,2,12,5.90752557717969,0
CAISO_Import_Limit,2020,20200213,2,12,5.90752557717969,0
CA_to_NW,2020,20200214,2,13,5.90752557717969,0
NW_to_CA,2020,20200214,2,13,5.90752557717969,0
CAISO_Export_Limit,2020,20200214,2,13,5.90752557717969,0
CAISO_Import_Limit,2020,20200214,2,13,5.90752557717969,0
CA_to_NW,2020,20200215,2,14,5.90752557717969,0
NW_to_CA,2020,20200215,2,14,5.90752557717969,0
CAISO_Export_Limit,2020,20200215,2,14,5.90752557717969,0
CAISO_Import_Limit,2020,20200215,2,14,5.90752557717969,0
CA_to_NW,2020,20200216,2,15,5.90752557717969,0
NW_to_CA,2020,20200216,2,15,5.90752557717969,0
CAISO_Export_Limit,2020,20200216,2,15,5.90752557717969,0
CAISO_Import_Limit,2020,20200216,2,15,5.90752557717969,0
CA_to_NW,2020,20200217,2,16,5.90752557717969,0
NW_to_CA,2020,20200217,2,16,5.90752557717969,0
CAISO_Export_Limit,2020,20200217,2,16,5.90752557717969,0
CAISO_Import_Limit,2020,20200217,2,16,5.90752557717969,0
CA_to_NW,2020,20200218,2,17,5.90752557717969,0
NW_to_CA,2020,20200218,2,17,5.90752557717969,-5.05
CAISO_Export_Limit,2020,20200218,2,17,5.90752557717969,0
CAISO_Import_Limit,2020,20200218,2,17,5.90752557717969,0
CA_to_NW,2020,20200219,2,18,5.90752557717969,0
NW_to_CA,2020,20200219,2,18,5.90752557717969,-45.95
CAISO_Export_Limit,2020,20200219,2,18,5.90752557717969,0
CAISO_Import_Limit,2020,20200219,2,18,5.90752557717969,0
CA_to_NW,2020,20200220,2,19,5.90752557717969,0
NW_to_CA,2020,20200220,2,19,5.90752557717969,-1.43
CAISO_Export_Limit,2020,20200220,2,19,5.90752557717969,0
CAISO_Import_Limit,2020,20200220,2,19,5.90752557717969,-3.49
CA_to_NW,2020,20200221,2,20,5.90752557717969,0
NW_to_CA,2020,20200221,2,20,5.90752557717969,0
CAISO_Export_Limit,2020,20200221,2,20,5.90752557717969,0
CAISO_Import_Limit,2020,20200221,2,20,5.90752557717969,-1.28
CA_to_NW,2020,20200222,2,21,5.90752557717969,0
NW_to_CA,2020,20200222,2,21,5.90752557717969,0
CAISO_Export_Limit,2020,20200222,2,21,5.90752557717969,0
CAISO_Import_Limit,2020,20200222,2,21,5.90752557717969,0
CA_to_NW,2020,20200223,2,22,5.90752557717969,0
NW_to_CA,2020,20200223,2,22,5.90752557717969,0
CAISO_Export_Limit,2020,20200223,2,22,5.90752557717969,0
CAISO_Import_Limit,2020,20200223,2,22,5.90752557717969,0
CA_to_NW,2020,20200224,2,23,5.90752557717969,0
NW_to_CA,2020,20200224,2,23,5.90752557717969,0
CAISO_Export_Limit,2020,20200224,2,23,5.90752557717969,0
CAISO_Import_Limit,2020,20200224,2,23,5.90752557717969,0
CA_to_NW,2020,20200301,3,0,28.0221528838783,0
NW_to_CA,2020,20200301,3,0,28.0221528838783,0
CAISO_Export_Limit,2020,20200301,3,0,28.0221528838783,0
CAISO_Import_Limit,2020,20200301,3,0,28.0221528838783,0
CA_to_NW,2020,20200302,3,1,28.0221528838783,0
NW_to_CA,2020,20200302,3,1,28.0221528838783,0
CAISO_Export_Limit,2020,20200302,3,1,28.0221528838783,0
CAISO_Import_Limit,2020,20200302,3,1,28.0221528838783,0
CA_to_NW,2020,20200303,3,2,28.0221528838783,0
NW_to_CA,2020,20200303,3,2,28.0221528838783,0
CAISO_Export_Limit,2020,20200303,3,2,28.0221528838783,0
CAISO_Import_Limit,2020,20200303,3,2,28.0221528838783,0
CA_to_NW,2020,20200304,3,3,28.0221528838783,0
NW_to_CA,2020,20200304,3,3,28.0221528838783,0
CAISO_Export_Limit,2020,20200304,3,3,28.0221528838783,0
CAISO_Import_Limit,2020,20200304,3,3,28.0221528838783,0
CA_to_NW,2020,20200305,3,4,28.0221528838783,0
NW_to_CA,2020,20200305,3,4,28.0221528838783,0
CAISO_Export_Limit,2020,20200305,3,4,28.0221528838783,0
CAISO_Import_Limit,2020,20200305,3,4,28.0221528838783,0
CA_to_NW,2020,20200306,3,5,28.0221528838783,0
NW_to_CA,2020,20200306,3,5,28.0221528838783,0
CAISO_Export_Limit,2020,20200306,3,5,28.0221528838783,0
CAISO_Import_Limit,2020,20200306,3,5,28.0221528838783,0
CA_to_NW,2020,20200307,3,6,28.0221528838783,0
NW_to_CA,2020,20200307,3,6,28.0221528838783,0
CAISO_Export_Limit,2020,20200307,3,6,28.0221528838783,0
CAISO_Import_Limit,2020,20200307,3,6,28.0221528838783,0
CA_to_NW,2020,20200308,3,7,28.0221528838783,0
NW_to_CA,2020,20200308,3,7,28.0221528838783,0
CAISO_Export_Limit,2020,20200308,3,7,28.0221528838783,0
CAISO_Import_Limit,2020,20200308,3,7,28.0221528838783,0
CA_to_NW,2020,20200309,3,8,28.0221528838783,0
NW_to_CA,2020,20200309,3,8,28.0221528838783,0
CAISO_Export_Limit,2020,20200309,3,8,28.0221528838783,0
CAISO_Import_Limit,2020,20200309,3,8,28.0221528838783,0
CA_to_NW,2020,20200310,3,9,28.0221528838783,0
NW_to_CA,2020,20200310,3,9,28.0221528838783,0
CAISO_Export_Limit,2020,20200310,3,9,28.0221528838783,0
CAISO_Import_Limit,2020,20200310,3,9,28.0221528838783,0
CA_to_NW,2020,20200311,3,10,28.0221528838783,0
NW_to_CA,2020,20200311,3,10,28.0221528838783,0
CAISO_Export_Limit,2020,20200311,3,10,28.0221528838783,0
CAISO_Import_Limit,2020,20200311,3,10,28.0221528838783,0
CA_to_NW,2020,20200312,3,11,28.0221528838783,0
NW_to_CA,2020,20200312,3,11,28.0221528838783,0
CAISO_Export_Limit,2020,20200312,3,11,28.0221528838783,0
CAISO_Import_Limit,2020,20200312,3,11,28.0221528838783,0
CA_to_NW,2020,20200313,3,12,28.0221528838783,0
NW_to_CA,2020,20200313,3,12,28.0221528838783,0
CAISO_Export_Limit,2020,20200313,3,12,28.0221528838783,0
CAISO_Import_Limit,2020,20200313,3,12,28.0221528838783,0
CA_to_NW,2020,20200314,3,13,28.0221528838783,0
NW_to_CA,2020,20200314,3,13,28.0221528838783,0
CAISO_Export_Limit,2020,20200314,3,13,28.0221528838783,0
CAISO_Import_Limit,2020,20200314,3,13,28.0221528838783,0
CA_to_NW,2020,20200315,3,14,28.0221528838783,0
NW_to_CA,2020,20200315,3,14,28.0221528838783,0
CAISO_Export_Limit,2020,20200315,3,14,28.0221528838783,0
CAISO_Import_Limit,2020,20200315,3,14,28.0221528838783,0
CA_to_NW,2020,20200316,3,15,28.0221528838783,0
NW_to_CA,2020,20200316,3,15,28.0221528838783,0
CAISO_Export_Limit,2020,20200316,3,15,28.0221528838783,0
CAISO_Import_Limit,2020,20200316,3,15,28.0221528838783,0
CA_to_NW,2020,20200317,3,16,28.0221528838783,0
NW_to_CA,2020,20200317,3,16,28.0221528838783,0
CAISO_Export_Limit,2020,20200317,3,16,28.0221528838783,0
CAISO_Import_Limit,2020,20200317,3,16,28.0221528838783,0
CA_to_NW,2020,20200318,3,17,28.0221528838783,0
NW_to_CA,2020,20200318,3,17,28.0221528838783,0
CAISO_Export_Limit,2020,20200318,3,17,28.0221528838783,0
CAISO_Import_Limit,2020,20200318,3,17,28.0221528838783,-0.42
CA_to_NW,2020,20200319,3,18,28.0221528838783,0
NW_to_CA,2020,20200319,3,18,28.0221528838783,0
CAISO_Export_Limit,2020,20200319,3,18,28.0221528838783,0
CAISO_Import_Limit,2020,20200319,3,18,28.0221528838783,0
CA_to_NW,2020,20200320,3,19,28.0221528838783,0
NW_to_CA,2020,20200320,3,19,28.0221528838783,0
CAISO_Export_Limit,2020,20200320,3,19,28.0221528838783,0
CAISO_Import_Limit,2020,20200320,3,19,28.0221528838783,0
CA_to_NW,2020,20200321,3,20,28.0221528838783,0
NW_to_CA,2020,20200321,3,20,28.0221528838783,0
CAISO_Export_Limit,2020,20200321,3,20,28.0221528838783,0
CAISO_Import_Limit,2020,20200321,3,20,28.0221528838783,-7.56
CA_to_NW,2020,20200322,3,21,28.0221528838783,0
NW_to_CA,2020,20200322,3,21,28.0221528838783,0
CAISO_Export_Limit,2020,20200322,3,21,28.0221528838783,0
CAISO_Import_Limit,2020,20200322,3,21,28.0221528838783,0
CA_to_NW,2020,20200323,3,22,28.0221528838783,0
NW_to_CA,2020,20200323,3,22,28.0221528838783,0
CAISO_Export_Limit,2020,20200323,3,22,28.0221528838783,0
CAISO_Import_Limit,2020,20200323,3,22,28.0221528838783,0
CA_to_NW,2020,20200324,3,23,28.0221528838783,0
NW_to_CA,2020,20200324,3,23,28.0221528838783,0
CAISO_Export_Limit,2020,20200324,3,23,28.0221528838783,0
CAISO_Import_Limit,2020,20200324,3,23,28.0221528838783,0
CA_to_NW,2020,20200401,4,0,14.341145931673,0
NW_to_CA,2020,20200401,4,0,14.341145931673,0
CAISO_Export_Limit,2020,20200401,4,0,14.341145931673,0
CAISO_Import_Limit,2020,20200401,4,0,14.341145931673,0
CA_to_NW,2020,20200402,4,1,14.341145931673,0
NW_to_CA,2020,20200402,4,1,14.341145931673,0
CAISO_Export_Limit,2020,20200402,4,1,14.341145931673,0
CAISO_Import_Limit,2020,20200402,4,1,14.341145931673,0
CA_to_NW,2020,20200403,4,2,14.341145931673,0
NW_to_CA,2020,20200403,4,2,14.341145931673,0
CAISO_Export_Limit,2020,20200403,4,2,14.341145931673,0
CAISO_Import_Limit,2020,20200403,4,2,14.341145931673,0
CA_to_NW,2020,20200404,4,3,14.341145931673,0
NW_to_CA,2020,20200404,4,3,14.341145931673,0
CAISO_Export_Limit,2020,20200404,4,3,14.341145931673,0
CAISO_Import_Limit,2020,20200404,4,3,14.341145931673,0
CA_to_NW,2020,20200405,4,4,14.341145931673,0
NW_to_CA,2020,20200405,4,4,14.341145931673,0
CAISO_Export_Limit,2020,20200405,4,4,14.341145931673,0
CAISO_Import_Limit,2020,20200405,4,4,14.341145931673,0
CA_to_NW,2020,20200406,4,5,14.341145931673,0
NW_to_CA,2020,20200406,4,5,14.341145931673,0
CAISO_Export_Limit,2020,20200406,4,5,14.341145931673,0
CAISO_Import_Limit,2020,20200406,4,5,14.341145931673,0
CA_to_NW,2020,20200407,4,6,14.341145931673,0
NW_to_CA,2020,20200407,4,6,14.341145931673,0
CAISO_Export_Limit,2020,20200407,4,6,14.341145931673,0
CAISO_Import_Limit,2020,20200407,4,6,14.341145931673,0
CA_to_NW,2020,20200408,4,7,14.341145931673,0
NW_to_CA,2020,20200408,4,7,14.341145931673,0
CAISO_Export_Limit,2020,20200408,4,7,14.341145931673,0
CAISO_Import_Limit,2020,20200408,4,7,14.341145931673,0
