period	ghg_emissions_target_tco2_per_year	ghg_emissions_credit_tco2_per_year
2020	50943189.4768205	-5497381.38043869
2022	46974551.5814564	-5504661.8373301
2026	39037275.7907282	-5497663.73895212
2030	31100000	-5480417.63395418
