zone,period,rps_eligible_gen_mwh,scheduled_curtailment_mwh,Subhourly_Downward_LF_Energy_MWh,rps_storage_losses_mwh,rps_target_mwh,rps_banked_mwh,rps_constraint_dual_$,rps_nonmodeled_mwh,rps_net_bank_spent_mwh,rps_previously_banked_mwh,pipeline_biogas_generation_mwh,pipeline_biogas_cost_$_per_year,pipeline_biogas_max_dual_$_per_mmbtu,rps_unbundled_fraction_limit_dual_$_per_mwh,rps_target_before_ee_mwh
CAISO,2020,80893708.81,251921.93,207276.04,484274.57,65867952.41,,0,2847608.82,0,0,0,0,0,0,65867952.41
CAISO,2022,112485386.38,6168617.61,930839.21,1911756.09,76693566.26,,0,2847608.82,1724331.62,1724331.62,0,0,0,0,76693566.26
CAISO,2026,115132674.59,3521329.39,557062.21,2904305.00,97627362.17,,0,2847608.82,23712970.10,23712970.10,0,0,0,0,97627362.17
CAISO,2030,118580638.11,3682524.25,750915.91,3913458.72,116763872.30,,10.37,2847608.82,0,0,0,0,0,0,116763872.30
