period,prm_peak_load_MW,planning_reserve_margin_fraction,capacity_target_MW,system_capacity_MW,firm_capacity_MW,prm_planned_import_capacity_MW,prm_import_resource_capacity_adjustment_MW,storage_ELCC_MW,new_renewable_import_capacity_MW,variable_renewable_ELCC_MW,planning_reserve_margin_dual_$,local_capacity_deficiency_MW,local_capacity_dual_$,marginal_solar_elcc_mw_per_fraction_of_annual_load,marginal_wind_elcc_mw_per_fraction_of_annual_load,active_elcc_facet_index,prm_peak_load_MW_before_EE_MW
2020,48687.57,0.15,55990.71,57279.78,42935.92,5000.00,-1898.89,2883.65,0,8359.10,0,0,0,3113.98,25152.52,17,48687.57
2022,49404.15,0.15,56814.77,56814.77,39691.28,5000.00,-1898.89,4362.01,0,9660.37,-327309.60,0,0,2050.62,16795.87,23,49404.15
2026,50620.64,0.15,58213.74,58213.74,36936.59,5000.00,-1418.89,7582.84,0,10113.20,-77154.12,0,0,2101.12,17209.44,23,50620.64
2030,52391.11,0.15,60249.78,63117.33,36466.96,5000.00,-1418.89,12555.07,0,10514.19,0,0,0,2174.60,17811.34,23,52391.11
2035,55770.27,0.15,64135.81,66692.57,35739.12,5000.00,-1418.89,16217.75,0,11154.59,0,0,0,1939.17,28980.58,21,55770.27
2040,59888.81,0.15,68872.13,70213.20,35011.29,5000.00,-1418.89,20030.13,0,11590.68,0,0,0,2082.37,31120.74,21,59888.81
2045,62782.19,0.15,72199.52,72199.52,35011.29,5000.00,-1418.89,21472.65,0,12134.48,-37375.32,0,0,2182.98,32624.27,21,62782.19
