period,ghg_target_tco2_per_yr,ghg_emissions_credit_tco2_per_yr,ghg_constraint_dual_$,ghg_unspecified_imports_tco2_per_yr,ghg_emissions_within_area_tco2_per_yr
2020,49874465.28,-5497381.38,0,10465371.59,28225218.70
2022,45193344.59,-5504661.84,0,12275993.42,13894028.18
2026,35831103.21,-5497663.74,-98.29,11430486.10,18902953.37
2030,26468861.83,-5480417.63,-259.94,2743710.29,18244733.91
2035,25170948.53,-2740208.82,-256.14,3500571.86,18930167.85
2040,21225143.75,0,-304.05,3187109.24,18038034.51
2045,15465730.06,0,-426.17,1554277.32,13911452.74
